Número de experimentos, Número de universidades, Número de factores a evaluar, Aciertos en el primero(%), Desviación Típica Aciertos con el primero, Aciertos(%), Desviación Típica Aciertos, Falsos positivos(%), Desviación Típica Falsos positivos, Falsos negativos(%), Desviación Típica Falsos negativos,Mayor desplazamiento promedio,Desviación Típica Mayor desplazamiento promedio,Máximo desplazamiento,Máximo desplazamiento porcentual
1,43,2,100,0,83.7209302326,53.622753103,4.6511627907,2.9790418391,11.6279069767,7.4476045976,6.976744186,4.4685627586,6.976744186,(16.224986479177932%)
1,44,2,100,0,100,64.8249390842,0,0,0,0,36.3636363636,23.5727051215,36.3636363636,(82.64462809917356%)
1,45,2,100,0,71.1111111111,46.642721664,2.2222222222,1.457585052,26.6666666667,17.491020624,44.4444444444,29.15170104,44.4444444444,(98.76543209876543%)
1,46,2,100,0,65.2173913043,43.2710088715,8.6956521739,5.7694678495,26.0869565217,17.3084035486,26.0869565217,17.3084035486,26.0869565217,(56.71077504725898%)
1,47,2,100,0,82.9787234043,55.6769776058,2.1276595745,1.4276148104,14.8936170213,9.9933036728,21.2765957447,14.276148104,21.2765957447,(45.269352648257126%)
1,48,2,100,0,62.5,42.3991603936,8.3333333333,5.6532213858,29.1666666667,19.7862748504,22.9166666667,15.546358811,22.9166666667,(47.74305555555555%)
1,49,2,100,7.7715611723761E-015,85.7142857143,58.7755102041,2.0408163265,1.3994169096,12.2448979592,8.3965014577,44.8979591837,30.7871720117,44.8979591837,(91.62848812994586%)
1,50,2,100,0,72,49.8934544805,2,1.3859292911,26,18.0170807846,28,19.4030100758,28,(56.00000000000001%)
1,51,2,100,0,47.0588235294,32.947766683,1.9607843137,1.3728236118,50.9803921569,35.6934139066,29.4117647059,20.5923541769,29.4117647059,(57.67012687427913%)
1,52,2,100,0,86.5384615385,61.2036995354,1.9230769231,1.3600822119,11.5384615385,8.1604932714,19.2307692308,13.600822119,19.2307692308,(36.982248520710066%)
1,53,2,100,0,52.8301886792,37.7352794546,7.5471698113,5.3907542078,39.6226415094,28.3014595909,22.641509434,16.1722626234,22.641509434,(42.71982912068352%)
1,54,2,100,0,92.5925925926,66.7813561561,1.8518518519,1.3356271231,5.5555555556,4.0068813694,18.5185185185,13.3562712312,18.5185185185,(34.29355281207133%)
1,55,2,100,0,89.0909090909,64.8702849483,1.8181818182,1.3238833663,9.0909090909,6.6194168315,7.2727272727,5.2955334652,7.2727272727,(13.223140495867769%)
1,56,2,100,0,62.5,45.9355259537,7.1428571429,5.2497743947,30.3571428571,22.3115411775,28.5714285714,20.9990975788,28.5714285714,(51.0204081632653%)
1,57,2,100,0,100,74.1738119956,0,0,0,0,26.3157894737,19.5194242094,26.3157894737,(46.16805170821791%)
1,58,2,100,0,96.5517241379,72.2638161531,1.724137931,1.2904252884,1.724137931,1.2904252884,18.9655172414,14.1946781729,18.9655172414,(32.69916765755053%)
1,59,2,100,0,79.6610169492,60.1516900566,6.7796610169,5.1192927708,13.5593220339,10.2385855415,30.5084745763,23.0368174685,30.5084745763,(51.70927894283252%)
1,60,2,100,0,91.6666666667,69.8212831025,3.3333333333,2.5389557492,5,3.8084336238,38.3333333333,29.1979911156,38.3333333333,(63.88888888888889%)
1,61,2,100,0,85.2459016393,65.4877156378,4.9180327869,3.7781374406,9.8360655738,7.5562748813,19.6721311475,15.1125497626,19.6721311475,(32.249395323837675%)
1,62,2,100,0,88.7096774194,68.7234558203,4.8387096774,3.7485521357,6.4516129032,4.9980695142,20.9677419355,16.2437259212,20.9677419355,(33.81893860561915%)
1,63,2,100,0,85.7142857143,66.9537066473,6.3492063492,4.9595338257,7.9365079365,6.1994172822,17.4603174603,13.6387180208,17.4603174603,(27.71478961955152%)
1,64,2,100,0,62.5,49.21875,3.125,2.4609375,34.375,27.0703125,14.0625,11.07421875,14.0625,(21.97265625%)
