n	University	Economy	Overall	Teaching	Research	International Diversity	Financial Sustainability
168	University of Bonn	Germany	67.373	79.651	53.661	69.488	49.328
280	University of Bradford	UK	54.284	43.623	56.361	78.073	49.066
48	University of Bristol	UK	81,63	68.759	88.489	83.976	80.335
496	University of Bucharest	Romania	30.141	28.187	26.118	37.485	39.396
34	University of California, Davis	USA	84.232	77.852	87.384	71.988	85.826
156	University of California, Irvine	USA	68.649	56.182	74.061	66,08	81.949
23	University of California, Los Angeles	USA	88.335	82.975	93.929	63.637	86.942
197	University of California, Riverside	USA	64.548	44.657	73.716	77.328	78.641
52	University of California, San Diego	USA	81.339	75.513	86.551	55.769	87.117
131	University of California, Santa Barbara	USA	72.329	48.754	86.836	77,25	85.388
230	University of California, Santa Cruz	USA	60.688	39,14	78.459	41,46	80.826
11	University of Cambridge	UK	93.006	86.413	93.134	94,17	91.278
471	University of Canberra	Australia	33,89	18.887	39.903	56.065	39.127
338	University of Canterbury	New Zealand	47.508	28.546	54.633	84.614	44.404
187	University of Cape Town	South Africa	65.466	46.093	74.548	82.298	72.605
395	University of Central Florida	USA	41.765	25.016	51.743	39.812	61.916
7	University of Chicago	USA	94.682	96.341	93.786	74.957	82,95
425	University of Chile	Chile	38.987	42.333	28.289	39.085	59.786
193	University of Cincinnati	USA	64,87	69.742	61.909	34.839	69.248
397	University of Coimbra	Portugal	41.489	46.411	30.404	52.476	43,58
127	University of Cologne	Germany	72.837	72.549	73.435	70.047	50.975
510	University of Colombo	Sri Lanka	27.564	42.373	13.132	24,28	20.275
144	University of Colorado	USA	70,72	58.308	81.475	53.599	75,25
112	University of Copenhagen	Denmark	74.008	73.753	69.871	76.079	67.722
309	University of Crete	Greece	50.515	41.213	57,9	47.058	47.116
244	University of Delaware	USA	58.431	49.361	61.637	42.189	85.129
232	University of Dundee	UK	60.477	44.195	69.821	67.113	65.488
164	University of East Anglia	UK	67.608	52.482	76.291	78.535	63.077
526	University of East London	UK	23.925	15.638	18.462	58,42	39,96
49	University of Edinburgh	UK	81.546	72.129	83,74	88.513	80.453
85	University of Erlangen, Nuremberg	Germany	77.056	83.136	71.709	64.814	62.493
207	University of Essex	UK	63.116	61.566	54.479	87.299	61.686
235	University of Exeter	UK	60.226	44.574	69.076	70.398	60.628
347	University of Ferrara	Italy	46.643	30.694	61.154	40.757	45,23
123	University of Florida	USA	73.174	60.273	84.805	45.432	87.264
83	University of Freiburg	Germany	77.099	91.245	61.315	72.044	64.994
258	University of Fribourg	Switzerland	56.799	47.927	56.611	83.257	49.872
161	University of Georgia	USA	67.721	60.464	73.283	50.295	73.599
71	University of Glasgow	UK	78.236	67.421	83.535	77.609	79.109
553	University of Gloucestershire	UK	18.871	15.522	11.843	39.234	37.098
200	University of Gothenburg	Sweden	64,35	48.646	76.002	57.634	70.106
349	University of Graz	Austria	46.626	45.577	41.549	58.268	46.283
513	University of Greenwich	UK	26.995	11.666	28.043	67.838	37.376
121	University of Groningen	Netherlands	73.346	54.125	87.906	58.925	87.874
296	University of Guelph	Canada	52.405	35.588	61.254	48.612	76.675
65	University of Göttingen	Germany	79.051	65.626	87.826	71.362	83.838
177	University of Hannover	Germany	66.528	73,96	56.621	66.438	56.151
54	University of Helsinki	Finland	81,27	81.822	82.874	58.607	70.896
468	University of Hertfordshire	UK	34.113	18.017	36.115	75.178	41.113
99	University of Hong Kong	Hong Kong	75,25	63.549	74.918	89.372	90.139
306	University of Houston	USA	51.099	45.444	50.794	50.176	63.038
308	University of Hull	UK	50.538	31.775	62.183	67.231	48.151
465	University of Iceland	Iceland	34.533	15.946	41.818	52.951	54.514
310	University of Idaho	USA	50.514	42.484	54.225	30.904	76.533
73	University of Illinois at Chicago	USA	78.083	80.676	73.327	60.206	82.995
75	University of Illinois at Urbana - Champaign	USA	77.926	68.637	83.912	63.882	84.072
503	University of Indonesia	Indonesia	28.241	44.425	12.959	29.572	12.971
305	University of Innsbruck	Austria	51.227	48,11	43.251	84.822	47.111
96	University of Iowa	USA	75.667	78.177	75.219	41.937	80.143
184	University of Kansas	USA	65.884	75.986	57.214	42.038	64.922
347	University of Kent	UK	46.643	35.463	48.421	71.779	46.124
159	University of Kiel	Germany	68.107	69.658	64.662	61.131	62.608
276	University of Konstanz	Germany	54.972	50.037	49.355	75.696	61.893
433	University of KwaZulu Natal	South Africa	37,86	23,84	41.099	47,13	64.716
51	University of Lausanne	Switzerland	81.415	65.429	92.443	82.858	76,47
176	University of Leeds	UK	66.637	52.295	74.664	72.373	67.753
199	University of Leicester	UK	64.381	51.416	67.684	82.721	67.149
456	University of Limerick	Ireland	35.348	28.359	31.389	55.444	51.233
366	University of Lisbon	Portugal	44.794	45,7	36.362	59.384	48.033
92	University of Liverpool	UK	76.359	60.449	85,6	80.663	77.615
149	University of Liège	Belgium	70.058	79.688	58.321	64.256	63.332
463	University of Lucerne	Switzerland	34.704	41.897	20.683	69.405	14.872
498	University of Lódz	Poland	29.432	42.743	16.604	19.283	28.923
511	University of Macau	Macau	27.412	26,73	22.384	34.365	36.748
30	University of Manchester	UK	85.195	87.565	76.934	89.931	79.053
242	University of Manitoba	Canada	59.289	42.896	70.076	52.012	74.481
469	University of Marrakech Cadi Ayyad	Morocco	34.075	40.465	25.297	27.418	41.376
80	University of Maryland, College Park	USA	77.273	73.689	81.118	57.314	73.933
179	University of Massachusetts	USA	66.287	60.097	70,2	48.025	76,23
89	University of Melbourne	Australia	76.647	53.759	89.349	90.321	83.404
109	University of Miami	USA	74.225	84.559	62.655	54.454	78.115
41	University of Michigan	USA	83.206	77.251	86,19	68.427	86.839
401	University of Milan	Italy	41.054	36.999	37,79	47.005	54.561
427	University of Milan - Bicocca	Italy	38.735	25.674	48.967	31.407	47.825
43	University of Minnesota	USA	82.775	77.458	90.779	43.703	88.375
114	University of Missouri	USA	73,96	71.657	76.188	44.518	83.999
550	University of Monastir	Tunisia	19.632	23.293	7,83	26.846	42.218
399	University of Mysore	India	41.468	64.697	17.414	26.268	48.548
268	University of Navarra	Spain	55.892	55.654	49.542	55.471	68.429
158	University of Nebraska	USA	68.178	62.326	72.174	45.045	81.137
113	University of New South Wales	Australia	73.978	65.515	75.969	87.601	64,27
374	University of Newcastle	Australia	44.436	19,08	55.938	70.251	64.661
25	University of North Carolina	USA	87.164	90,23	86.327	54.483	85.925
542	University of Northampton	UK	21.474	11.477	21.765	52.349	23.953
100	University of Nottingham	UK	75.247	65.723	78.687	82.113	71.086
477	University of Nova de Lisboa	Portugal	32.478	28.782	26.768	54.137	40.355
269	University of Nova Gorica	Slovenia	55.688	62.722	48.328	40.079	56.756
196	University of Oklahoma	USA	64.621	74.211	55.409	42.609	66.799
90	University of Oslo	Norway	76.552	68.063	82.573	73.354	66.895
272	University of Otago	New Zealand	55,38	37.917	60.829	86.031	57.862
263	University of Ottawa	Canada	55.998	41.252	65.972	42,43	75.562
17	University of Oxford	UK	89.375	84.976	85.143	94.878	93.739
266	University of Padua	Italy	55.898	38.877	70.641	41.727	64,85
352	University of Pavia	Italy	46.509	31.278	58.168	39.816	55.809
15	University of Pennsylvania	USA	91.079	95.546	88.357	65.968	82.106
376	University of Pisa	Italy	44,19	28.777	58.229	31,11	51.476
31	University of Pittsburgh	USA	85.039	88.304	86.061	46.359	81.908
450	University of Plymouth	UK	35.861	19.821	40.562	63.549	44.956
381	University of Porto	Portugal	43.999	42.968	43.171	44.866	37.257
474	University of Portsmouth	UK	32.997	15.014	37.966	70.201	39,85
391	University of Pretoria	South Africa	43,18	35.064	46.484	49.673	43.961
459	University of Puerto Rico	Puerto Rico	35.088	43.011	29,31	25.178	24.971
634	University of Qatar	Qatar	32.576	24.992	16.929	85.907	65.952
88	University of Queensland Australia	Australia	76,66	62.493	83.187	82.216	80.779
140	University of Reading	UK	71.226	59.599	76,83	81,62	64.128
441	University of Salamanca	Spain	37.037	47.205	23.837	42.109	32.835
490	University of Salento	Italy	30.931	23,69	31.671	28.459	53,7
452	University of Salford	UK	35.695	27.325	33.174	63.233	42.768
358	University of Saskatchewan	Canada	46.154	42.237	39.235	59.744	65.408
84	University of Sheffield	UK	77.093	67.469	81.622	78,53	74.037
560	University of South Africa	South Africa	14.827	6.243	12.089	34.037	40.167
416	University of South Australia	Australia	39.675	26.129	38.982	74.353	52.747
205	University of South Carolina	USA	63.444	63.166	63.436	37.949	73.321
353	University of South Dakota	USA	46.504	60.392	34.094	16.978	58.043
98	University of Southampton	UK	75.504	66.434	77.723	83.485	73.501
26	University of Southern California	USA	86.481	92.316	82,67	62.915	75.896
289	University of Southern Denmark	Denmark	53.245	51.869	45,27	73.669	55.491
104	University of St. Andrews	UK	74.894	62.709	78.219	92.577	71.285
329	University of Stirling	UK	48.459	42.884	45.432	66.982	51.126
173	University of Strasbourg	France	66.931	56,79	72.949	83.602	45.335
283	University of Strathclyde	UK	54.165	43.638	55,87	67.499	62.037
183	University of Surrey	UK	65.951	62.424	58.942	83.533	72.811
151	University of Sussex	UK	69,4	59.146	73.722	79.881	62.361
147	University of Sydney	Australia	70.299	54.428	77.485	88.302	67.117
154	University of São Paulo	Brazil	69.241	84.383	58,42	38.622	61.543
303	University of Tampere	Finland	51.795	60.517	42.624	36.062	54.775
436	University of Tartu	Estonia	37.523	32.604	37.734	38.243	46.227
355	University of Tasmania	Australia	46.245	29.307	50.683	74.703	56.434
189	University of Texas at Dallas	USA	65.358	41.749	87,56	45,29	74.155
334	University of Texas at San Antonio	USA	47.989	20.812	73,42	29.372	62.409
548	University of the Sinos Valley	Brazil	19.888	14.344	24.505	15.912	22.367
522	University of the West of England	UK	24.675	17.645	22.239	48.139	33.401
253	University of Tokushima	Japan	57.475	61.085	55.053	12.114	85.129
33	University of Tokyo	Japan	84.483	92.853	78.759	46.119	88.573
38	University of Toronto	Canada	83.401	69.603	90.371	83.156	88.215
321	University of Trento	Italy	49.256	37.181	55.504	56.127	52.454
354	University of Trieste	Italy	46.306	30,53	59.667	47,89	40.915
216	University of Tromsø	Norway	62.252	68.365	51.669	66.501	57.487
165	University of Tsukuba	Japan	67.557	78.705	55.287	48.649	72.055
344	University of Turin	Italy	47.067	32.276	58,37	41.853	54.115
267	University of Turku	Finland	55.893	62.204	49.953	43.651	49.853
67	University of Twente	Netherlands	78.762	69.357	83.802	66.428	87.538
467	University of Ulster	UK	34.149	25,97	30.802	59.526	47.086
93	University of Utah	USA	76.033	61.839	92.227	41,19	82.362
400	University of Valencia	Spain	41.406	45.927	33.785	45.575	37.272
248	University of Vermont	USA	58.075	51.735	69.255	22.758	57.596
